Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2007, 01 - JAN, 2233, 1245, 873, 0, 0, 0, 0, 170, 1547, 148991, 342679, 63025, 
AZ: Douglas                                                 , 2007, 02 - FEB, 2242, 1320, 818, 0, 0, 0, 0, 186, 1389, 138569, 318709, 65697, 
AZ: Douglas                                                 , 2007, 03 - MAR, 2470, 1421, 912, 0, 0, 0, 0, 223, 2166, 150997, 347293, 77780, 
AZ: Douglas                                                 , 2007, 04 - APR, 2312, 1274, 828, 0, 0, 0, 0, 207, 1783, 156459, 359856, 71393, 
AZ: Douglas                                                 , 2007, 05 - MAY, 2578, 1585, 935, 0, 0, 0, 0, 203, 1386, 163413, 375850, 71114, 
AZ: Douglas                                                 , 2007, 06 - JUN, 2497, 1507, 904, 0, 0, 0, 0, 219, 1497, 136184, 313223, 73723, 
AZ: Douglas                                                 , 2007, 07 - JUL, 2142, 1319, 873, 0, 0, 0, 0, 245, 2651, 136871, 314803, 76693, 
AZ: Douglas                                                 , 2007, 08 - AUG, 2434, 1490, 745, 0, 0, 0, 0, 222, 1606, 145454, 334544, 85827, 
AZ: Douglas                                                 , 2007, 09 - SEP, 1909, 1203, 664, 0, 0, 0, 0, 274, 2918, 141079, 338650, 96709, 
AZ: Douglas                                                 , 2007, 10 - OCT, 2187, 1365, 801, 0, 0, 0, 0, 258, 1583, 146392, 336702, 82343, 
AZ: Douglas                                                 , 2007, 11 - NOV, 2082, 1245, 626, 0, 0, 0, 0, 265, 1670, 140285, 322656, 83307, 
AZ: Douglas                                                 , 2007, 12 - DEC, 1632, 947, 549, 0, 0, 0, 0, 256, 1643, 142316, 327327, 104880, 
AZ: Lukeville                                               , 2007, 01 - JAN, 47, 0, 0, 0, 0, 0, 0, 179, 6981, 30510, 88479, 7963, 
AZ: Lukeville                                               , 2007, 02 - FEB, 34, 0, 0, 0, 0, 0, 0, 161, 6279, 27594, 80023, 8112, 
AZ: Lukeville                                               , 2007, 03 - MAR, 42, 0, 0, 0, 0, 0, 0, 170, 6630, 43329, 125654, 8328, 
AZ: Lukeville                                               , 2007, 04 - APR, 30, 0, 0, 0, 0, 0, 0, 111, 4329, 43462, 126040, 5589, 
AZ: Lukeville                                               , 2007, 05 - MAY, 43, 0, 0, 0, 0, 0, 0, 144, 5616, 43274, 125483, 5730, 
AZ: Lukeville                                               , 2007, 06 - JUN, 57, 0, 0, 0, 0, 0, 0, 172, 6708, 39931, 115800, 7105, 
AZ: Lukeville                                               , 2007, 07 - JUL, 41, 0, 0, 0, 0, 0, 0, 124, 4836, 38906, 112827, 8604, 
AZ: Lukeville                                               , 2007, 08 - AUG, 43, 0, 0, 0, 0, 0, 0, 72, 2808, 30530, 88537, 7291, 
AZ: Lukeville                                               , 2007, 09 - SEP, 35, 0, 0, 0, 0, 0, 0, 106, 4134, 34886, 101169, 7474, 
AZ: Lukeville                                               , 2007, 10 - OCT, 39, 0, 0, 0, 0, 0, 0, 124, 4836, 40142, 116412, 8123, 
AZ: Lukeville                                               , 2007, 11 - NOV, 40, 0, 0, 0, 0, 0, 0, 136, 5304, 37082, 107538, 8423, 
AZ: Lukeville                                               , 2007, 12 - DEC, 30, 0, 0, 0, 0, 0, 0, 123, 4797, 37461, 108637, 11713, 
AZ: Naco                                                    , 2007, 01 - JAN, 380, 217, 163, 0, 0, 0, 0, 19, 70, 27162, 73337, 6660, 
AZ: Naco                                                    , 2007, 02 - FEB, 476, 284, 191, 0, 0, 0, 0, 19, 160, 24142, 65184, 6670, 
AZ: Naco                                                    , 2007, 03 - MAR, 542, 377, 192, 0, 0, 0, 0, 25, 230, 27837, 75160, 11267, 
AZ: Naco                                                    , 2007, 04 - APR, 458, 285, 173, 0, 0, 0, 0, 11, 114, 26571, 71742, 7582, 
AZ: Naco                                                    , 2007, 05 - MAY, 498, 242, 238, 0, 0, 0, 0, 6, 123, 25490, 68823, 5807, 
AZ: Naco                                                    , 2007, 06 - JUN, 498, 264, 234, 0, 0, 0, 0, 6, 123, 25490, 68823, 5807, 
AZ: Naco                                                    , 2007, 07 - JUL, 445, 216, 229, 0, 0, 0, 0, 10, 89, 26016, 70243, 6524, 
AZ: Naco                                                    , 2007, 08 - AUG, 269, 141, 128, 0, 0, 0, 0, 5, 30, 26997, 72892, 7911, 
AZ: Naco                                                    , 2007, 09 - SEP, 198, 117, 81, 0, 0, 0, 0, 10, 104, 24483, 66104, 8864, 
AZ: Naco                                                    , 2007, 10 - OCT, 217, 112, 105, 0, 0, 0, 0, 8, 95, 25037, 67600, 10005, 
AZ: Naco                                                    , 2007, 11 - NOV, 284, 107, 177, 0, 0, 0, 0, 9, 68, 26362, 71177, 9283, 
AZ: Naco                                                    , 2007, 12 - DEC, 363, 90, 273, 0, 0, 0, 0, 7, 60, 33298, 89905, 9128, 
AZ: Nogales                                                 , 2007, 01 - JAN, 27885, 24090, 4595, 42, 2539, 1436, 168, 938, 16697, 264222, 713399, 546463, 
AZ: Nogales                                                 , 2007, 02 - FEB, 28941, 25274, 3667, 49, 3071, 1599, 196, 824, 13027, 237742, 641903, 563627, 
AZ: Nogales                                                 , 2007, 03 - MAR, 32365, 27827, 4538, 55, 3168, 2169, 220, 1032, 18732, 272671, 736212, 657297, 
AZ: Nogales                                                 , 2007, 04 - APR, 29122, 24838, 4284, 53, 3108, 1904, 212, 1039, 20113, 261460, 705942, 647108, 
AZ: Nogales                                                 , 2007, 05 - MAY, 33579, 28937, 4642, 52, 3088, 1512, 208, 1078, 17567, 280251, 756677, 639463, 
AZ: Nogales                                                 , 2007, 06 - JUN, 24640, 19567, 5073, 53, 3430, 1315, 212, 1081, 19493, 264203, 713349, 624824, 
AZ: Nogales                                                 , 2007, 07 - JUL, 15885, 10737, 5148, 40, 2349, 1586, 160, 1128, 28379, 269737, 728290, 667403, 
AZ: Nogales                                                 , 2007, 08 - AUG, 16873, 10917, 5955, 48, 3080, 1353, 192, 1056, 18414, 265381, 716528, 695048, 
AZ: Nogales                                                 , 2007, 09 - SEP, 14762, 9623, 5139, 47, 3186, 1090, 188, 993, 14039, 248425, 670748, 629641, 
AZ: Nogales                                                 , 2007, 10 - OCT, 20560, 14584, 6176, 51, 2616, 1315, 204, 1063, 15117, 268757, 725645, 654068, 
AZ: Nogales                                                 , 2007, 11 - NOV, 25306, 19649, 5695, 55, 2590, 1736, 220, 1066, 18570, 260268, 702722, 672793, 
AZ: Nogales                                                 , 2007, 12 - DEC, 25349, 20965, 4384, 43, 1835, 1294, 172, 1077, 21262, 287431, 776064, 725142, 
AZ: San Luis                                                , 2007, 01 - JAN, 4626, 2808, 1707, 0, 0, 0, 0, 1, 30, 221209, 420297, 264596, 
AZ: San Luis                                                , 2007, 02 - FEB, 5065, 2822, 1674, 0, 0, 0, 0, 3, 131, 197311, 355160, 263094, 
AZ: San Luis                                                , 2007, 03 - MAR, 4851, 2906, 1945, 0, 0, 0, 0, 13, 332, 221097, 397975, 283692, 
AZ: San Luis                                                , 2007, 04 - APR, 3271, 1652, 1472, 0, 0, 0, 0, 7, 267, 201926, 403852, 229391, 
AZ: San Luis                                                , 2007, 05 - MAY, 3290, 1624, 1666, 0, 0, 0, 0, 0, 0, 216110, 410609, 219172, 
AZ: San Luis                                                , 2007, 06 - JUN, 2864, 1271, 1848, 0, 0, 0, 0, 4, 132, 212033, 402863, 187284, 
AZ: San Luis                                                , 2007, 07 - JUL, 2622, 969, 1597, 0, 0, 0, 0, 5, 250, 206728, 413456, 308362, 
AZ: San Luis                                                , 2007, 08 - AUG, 2843, 1139, 1728, 0, 0, 0, 0, 4, 164, 193149, 366983, 188955, 
AZ: San Luis                                                , 2007, 09 - SEP, 2529, 968, 1500, 0, 0, 0, 0, 3, 187, 185291, 352053, 212825, 
AZ: San Luis                                                , 2007, 10 - OCT, 3344, 1300, 1980, 0, 0, 0, 0, 1, 50, 200809, 381537, 246335, 
AZ: San Luis                                                , 2007, 11 - NOV, 3583, 1666, 1920, 0, 0, 0, 0, 3, 151, 206610, 392559, 254476, 
AZ: San Luis                                                , 2007, 12 - DEC, 3828, 1956, 1873, 0, 0, 0, 0, 9, 64, 218740, 415606, 281502, 
AZ: Sasabe                                                  , 2007, 01 - JAN, 31, 35, 7, 0, 0, 0, 0, 0, 0, 3290, 8554, 63, 
AZ: Sasabe                                                  , 2007, 02 - FEB, 30, 32, 8, 0, 0, 0, 0, 0, 0, 2523, 6560, 30, 
AZ: Sasabe                                                  , 2007, 03 - MAR, 26, 26, 11, 0, 0, 0, 0, 0, 0, 3023, 7860, 73, 
AZ: Sasabe                                                  , 2007, 04 - APR, 25, 26, 12, 0, 0, 0, 0, 0, 0, 2980, 7748, 80, 
AZ: Sasabe                                                  , 2007, 05 - MAY, 19, 19, 20, 0, 0, 0, 0, 0, 0, 2826, 7347, 290, 
AZ: Sasabe                                                  , 2007, 06 - JUN, 12, 11, 22, 0, 0, 0, 0, 0, 0, 2474, 6432, 63, 
AZ: Sasabe                                                  , 2007, 07 - JUL, 11, 11, 22, 0, 0, 0, 0, 0, 0, 2462, 6401, 58, 
AZ: Sasabe                                                  , 2007, 08 - AUG, 9, 9, 22, 0, 0, 0, 0, 0, 0, 2453, 9357, 106, 
AZ: Sasabe                                                  , 2007, 09 - SEP, 17, 15, 17, 0, 0, 0, 0, 0, 0, 2609, 10853, 100, 
AZ: Sasabe                                                  , 2007, 10 - OCT, 29, 28, 17, 0, 0, 0, 0, 0, 0, 2715, 11294, 160, 
AZ: Sasabe                                                  , 2007, 11 - NOV, 47, 46, 11, 0, 0, 0, 0, 0, 0, 3066, 12755, 110, 
AZ: Sasabe                                                  , 2007, 12 - DEC, 40, 40, 11, 0, 0, 0, 0, 0, 0, 3040, 7904, 58, 
CA: Andrade                                                 , 2007, 01 - JAN, 46, 32, 0, 0, 0, 0, 0, 0, 0, 50931, 114310, 188164, 
CA: Andrade                                                 , 2007, 02 - FEB, 65, 39, 0, 0, 0, 0, 0, 0, 0, 46009, 104884, 199482, 
CA: Andrade                                                 , 2007, 03 - MAR, 81, 44, 0, 0, 0, 0, 0, 0, 0, 49674, 108429, 224058, 
CA: Andrade                                                 , 2007, 04 - APR, 34, 34, 0, 0, 0, 0, 0, 0, 0, 47009, 103064, 130910, 
CA: Andrade                                                 , 2007, 05 - MAY, 39, 38, 0, 0, 0, 0, 0, 0, 0, 47150, 96981, 90469, 
CA: Andrade                                                 , 2007, 06 - JUN, 37, 37, 0, 0, 0, 0, 0, 0, 0, 42535, 87775, 71637, 
CA: Andrade                                                 , 2007, 07 - JUL, 34, 34, 0, 0, 0, 0, 0, 0, 0, 42243, 89044, 63458, 
CA: Andrade                                                 , 2007, 08 - AUG, 29, 33, 0, 0, 0, 0, 0, 0, 0, 41654, 85027, 66794, 
CA: Andrade                                                 , 2007, 09 - SEP, 23, 24, 0, 0, 0, 0, 0, 0, 0, 43541, 93349, 76411, 
CA: Andrade                                                 , 2007, 10 - OCT, 36, 37, 0, 0, 0, 0, 0, 0, 0, 45467, 90691, 108670, 
CA: Andrade                                                 , 2007, 11 - NOV, 35, 34, 0, 0, 0, 0, 0, 0, 0, 45073, 93319, 148027, 
CA: Andrade                                                 , 2007, 12 - DEC, 19, 10, 0, 0, 0, 0, 0, 0, 0, 45362, 94178, 169948, 
CA: Calexico                                                , 2007, 01 - JAN, 0, 0, 0, 0, 0, 0, 0, 108, 2700, 568806, 1023851, 419043, 
CA: Calexico                                                , 2007, 02 - FEB, 0, 0, 0, 0, 0, 0, 0, 84, 2100, 460150, 874285, 351194, 
CA: Calexico                                                , 2007, 03 - MAR, 0, 0, 0, 0, 0, 0, 0, 76, 1900, 513940, 976486, 437344, 
CA: Calexico                                                , 2007, 04 - APR, 0, 0, 0, 0, 0, 0, 0, 90, 2250, 469910, 939820, 402294, 
CA: Calexico                                                , 2007, 05 - MAY, 0, 0, 0, 0, 0, 0, 0, 77, 1925, 507174, 1096577, 506519, 
CA: Calexico                                                , 2007, 06 - JUN, 0, 0, 0, 0, 0, 0, 0, 75, 1875, 452219, 813994, 597569, 
CA: Calexico                                                , 2007, 07 - JUL, 0, 0, 0, 0, 0, 0, 0, 77, 1925, 446051, 892102, 399319, 
CA: Calexico                                                , 2007, 08 - AUG, 0, 0, 0, 0, 0, 0, 0, 62, 1550, 466712, 933424, 426082, 
CA: Calexico                                                , 2007, 09 - SEP, 0, 0, 0, 0, 0, 0, 0, 72, 1800, 459737, 827527, 411909, 
CA: Calexico                                                , 2007, 10 - OCT, 0, 0, 0, 0, 0, 0, 0, 75, 1875, 490998, 883796, 409779, 
CA: Calexico                                                , 2007, 11 - NOV, 0, 0, 0, 0, 0, 0, 0, 95, 2375, 445889, 802600, 445052, 
CA: Calexico                                                , 2007, 12 - DEC, 0, 0, 0, 0, 0, 0, 0, 105, 3150, 465723, 884874, 484873, 
CA: Calexico East                                           , 2007, 01 - JAN, 25874, 14973, 10901, 37, 141, 589, 127, 128, 2243, 305742, 611484, 866, 
