Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2000, 01 - JAN, 2868, 1325, 824, 0, 0, 0, 0, 310, 310, 183929, 505805, 60146, 
AZ: Douglas                                                 , 2000, 02 - FEB, 2913, 1533, 1017, 0, 0, 0, 0, 290, 290, 169063, 464923, 59134, 
AZ: Douglas                                                 , 2000, 03 - MAR, 2563, 1529, 1093, 0, 0, 0, 0, 483, 4830, 186865, 513879, 58106, 
AZ: Douglas                                                 , 2000, 04 - APR, 2171, 1429, 789, 0, 0, 0, 0, 483, 4830, 184574, 507579, 58221, 
AZ: Douglas                                                 , 2000, 05 - MAY, 2696, 1516, 833, 0, 0, 0, 0, 483, 483, 195937, 538827, 59250, 
AZ: Douglas                                                 , 2000, 06 - JUN, 2983, 1388, 1039, 0, 0, 0, 0, 300, 300, 186206, 512067, 59250, 
AZ: Douglas                                                 , 2000, 07 - JUL, 2534, 1251, 1014, 0, 0, 0, 0, 310, 310, 193614, 532439, 53343, 
AZ: Douglas                                                 , 2000, 08 - AUG, 2946, 1317, 909, 0, 0, 0, 0, 310, 310, 192960, 530640, 57100, 
AZ: Douglas                                                 , 2000, 09 - SEP, 2712, 1456, 1084, 0, 0, 0, 0, 300, 300, 189356, 520729, 51090, 
AZ: Douglas                                                 , 2000, 10 - OCT, 3051, 1722, 1151, 0, 0, 0, 0, 310, 310, 189684, 521631, 50106, 
AZ: Douglas                                                 , 2000, 11 - NOV, 3158, 1668, 1170, 0, 0, 0, 0, 594, 594, 185953, 511371, 50626, 
AZ: Douglas                                                 , 2000, 12 - DEC, 2999, 1294, 1025, 0, 0, 0, 0, 895, 895, 194075, 533706, 66500, 
AZ: Lukeville                                               , 2000, 01 - JAN, 269, 32, 33, 0, 0, 0, 0, 26, 1029, 26988, 73921, 9300, 
AZ: Lukeville                                               , 2000, 02 - FEB, 295, 47, 46, 0, 0, 0, 0, 43, 1677, 27349, 74936, 8700, 
AZ: Lukeville                                               , 2000, 03 - MAR, 363, 47, 49, 0, 0, 0, 0, 51, 1989, 36732, 98355, 9300, 
AZ: Lukeville                                               , 2000, 04 - APR, 383, 31, 36, 0, 0, 0, 0, 47, 1833, 40742, 111633, 9000, 
AZ: Lukeville                                               , 2000, 05 - MAY, 401, 31, 42, 0, 0, 0, 0, 33, 1287, 44886, 122987, 9300, 
AZ: Lukeville                                               , 2000, 06 - JUN, 331, 35, 22, 0, 0, 0, 0, 29, 1131, 32542, 89165, 9000, 
AZ: Lukeville                                               , 2000, 07 - JUL, 342, 35, 16, 0, 0, 0, 0, 31, 1209, 33273, 96492, 9300, 
AZ: Lukeville                                               , 2000, 08 - AUG, 257, 20, 9, 0, 0, 0, 0, 26, 1014, 25657, 74405, 9300, 
AZ: Lukeville                                               , 2000, 09 - SEP, 269, 0, 0, 0, 0, 0, 0, 21, 819, 29781, 86364, 9000, 
AZ: Lukeville                                               , 2000, 10 - OCT, 349, 0, 0, 0, 0, 0, 0, 31, 1209, 38880, 112752, 9300, 
AZ: Lukeville                                               , 2000, 11 - NOV, 298, 0, 0, 0, 0, 0, 0, 36, 1404, 32971, 95615, 9000, 
AZ: Lukeville                                               , 2000, 12 - DEC, 283, 28, 32, 0, 0, 0, 0, 30, 1162, 30692, 89013, 9300, 
AZ: Naco                                                    , 2000, 01 - JAN, 683, 696, 235, 0, 0, 0, 0, 0, 0, 27980, 72748, 6815, 
AZ: Naco                                                    , 2000, 02 - FEB, 912, 694, 233, 0, 0, 0, 0, 0, 0, 26130, 67938, 6992, 
AZ: Naco                                                    , 2000, 03 - MAR, 1183, 810, 372, 0, 0, 0, 0, 0, 0, 27998, 72795, 8183, 
AZ: Naco                                                    , 2000, 04 - APR, 725, 480, 229, 0, 0, 0, 0, 0, 0, 28658, 74511, 7072, 
AZ: Naco                                                    , 2000, 05 - MAY, 713, 499, 267, 0, 0, 0, 0, 0, 0, 29046, 75520, 8250, 
AZ: Naco                                                    , 2000, 06 - JUN, 0, 292, 153, 0, 0, 0, 0, 0, 0, 27390, 71214, 0, 
AZ: Naco                                                    , 2000, 07 - JUL, 704, 331, 284, 0, 0, 0, 0, 0, 0, 29332, 76263, 9710, 
AZ: Naco                                                    , 2000, 08 - AUG, 814, 174, 182, 0, 0, 0, 0, 0, 0, 29191, 75897, 10439, 
AZ: Naco                                                    , 2000, 09 - SEP, 718, 0, 0, 0, 0, 0, 0, 0, 0, 26966, 70112, 8640, 
AZ: Naco                                                    , 2000, 10 - OCT, 995, 0, 0, 0, 0, 0, 0, 0, 0, 27333, 71066, 9313, 
AZ: Naco                                                    , 2000, 11 - NOV, 980, 0, 0, 0, 0, 0, 0, 0, 0, 27824, 72342, 8940, 
AZ: Naco                                                    , 2000, 12 - DEC, 710, 0, 0, 0, 0, 0, 0, 0, 0, 31348, 81505, 8263, 
