Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2009, 01 - JAN, 2155, 1227, 777, 0, 0, 0, 0, 172, 1190, 128430, 385590, 112294, 
AZ: Douglas                                                 , 2009, 02 - FEB, 1901, 1085, 723, 0, 0, 0, 0, 145, 999, 114988, 344964, 110984, 
AZ: Douglas                                                 , 2009, 03 - MAR, 2163, 1229, 839, 0, 0, 0, 0, 201, 1391, 122640, 367920, 113719, 
AZ: Douglas                                                 , 2009, 04 - APR, 2211, 1279, 845, 0, 0, 0, 0, 202, 1432, 122147, 366441, 112332, 
AZ: Douglas                                                 , 2009, 05 - MAY, 1940, 1196, 645, 0, 0, 0, 0, 142, 1019, 129732, 389196, 112346, 
AZ: Douglas                                                 , 2009, 06 - JUN, 2225, 1432, 780, 0, 0, 0, 0, 161, 972, 122217, 366650, 86160, 
AZ: Douglas                                                 , 2009, 07 - JUL, 2172, 1467, 688, 0, 0, 0, 0, 165, 1561, 129385, 388155, 103612, 
AZ: Douglas                                                 , 2009, 08 - AUG, 2101, 1408, 675, 0, 0, 0, 0, 171, 1338, 135901, 261387, 114402, 
AZ: Douglas                                                 , 2009, 09 - SEP, 2082, 1471, 604, 0, 0, 0, 0, 154, 962, 129390, 248864, 104837, 
AZ: Douglas                                                 , 2009, 10 - OCT, 2258, 1506, 682, 0, 0, 0, 0, 175, 1155, 130157, 250339, 101391, 
AZ: Douglas                                                 , 2009, 11 - NOV, 1987, 1331, 675, 0, 0, 0, 0, 116, 525, 124924, 249847, 111531, 
AZ: Douglas                                                 , 2009, 12 - DEC, 1967, 1229, 785, 0, 0, 0, 0, 175, 1028, 124535, 273977, 131137, 
AZ: Lukeville                                               , 2009, 01 - JAN, 30, 0, 0, 0, 0, 0, 0, 93, 1860, 27153, 78744, 8393, 
AZ: Lukeville                                               , 2009, 02 - FEB, 27, 0, 0, 0, 0, 0, 0, 94, 1880, 25682, 74478, 8026, 
AZ: Lukeville                                               , 2009, 03 - MAR, 26, 0, 0, 0, 0, 0, 0, 109, 2180, 37081, 107535, 9093, 
AZ: Lukeville                                               , 2009, 04 - APR, 28, 0, 0, 0, 0, 0, 0, 94, 1880, 31820, 92278, 8927, 
AZ: Lukeville                                               , 2009, 05 - MAY, 24, 0, 0, 0, 0, 0, 0, 80, 1600, 27816, 80666, 7757, 
AZ: Lukeville                                               , 2009, 06 - JUN, 26, 0, 0, 0, 0, 0, 0, 72, 1440, 26282, 76218, 7544, 
AZ: Lukeville                                               , 2009, 07 - JUL, 27, 0, 0, 0, 0, 0, 0, 81, 40, 25268, 73277, 8266, 
AZ: Lukeville                                               , 2009, 08 - AUG, 25, 0, 0, 0, 0, 0, 0, 71, 142, 21814, 63261, 7355, 
AZ: Lukeville                                               , 2009, 09 - SEP, 20, 0, 0, 0, 0, 0, 0, 45, 202, 21353, 89893, 6328, 
AZ: Lukeville                                               , 2009, 10 - OCT, 27, 0, 0, 0, 0, 0, 0, 45, 202, 28673, 128454, 6916, 
AZ: Lukeville                                               , 2009, 11 - NOV, 19, 0, 0, 0, 0, 0, 0, 40, 220, 28244, 126536, 7097, 
AZ: Lukeville                                               , 2009, 12 - DEC, 18, 0, 0, 0, 0, 0, 0, 49, 250, 21531, 96459, 8113, 
AZ: Naco                                                    , 2009, 01 - JAN, 151, 90, 61, 0, 0, 0, 0, 0, 0, 21725, 58657, 7245, 
AZ: Naco                                                    , 2009, 02 - FEB, 132, 83, 49, 0, 0, 0, 0, 2, 54, 21202, 57227, 6906, 
AZ: Naco                                                    , 2009, 03 - MAR, 123, 79, 44, 0, 0, 0, 0, 2, 110, 23396, 63169, 7730, 
AZ: Naco                                                    , 2009, 04 - APR, 142, 85, 57, 0, 0, 0, 0, 2, 65, 24053, 64943, 7897, 
AZ: Naco                                                    , 2009, 05 - MAY, 133, 82, 51, 0, 0, 0, 0, 1, 1, 24887, 67195, 6992, 
AZ: Naco                                                    , 2009, 06 - JUN, 119, 71, 48, 0, 0, 0, 0, 0, 0, 21640, 58427, 4719, 
AZ: Naco                                                    , 2009, 07 - JUL, 147, 100, 47, 0, 0, 0, 0, 1, 2, 23149, 62502, 5281, 
AZ: Naco                                                    , 2009, 08 - AUG, 131, 80, 51, 0, 0, 0, 0, 1, 5, 24949, 47986, 7533, 
AZ: Naco                                                    , 2009, 09 - SEP, 159, 102, 57, 0, 0, 0, 0, 3, 53, 21933, 42185, 7837, 
AZ: Naco                                                    , 2009, 10 - OCT, 156, 101, 58, 0, 0, 0, 0, 4, 119, 23078, 44387, 7706, 
