Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2011, 01 - JAN, 2116, 1196, 749, 0, 0, 0, 0, 176, 1167, 116549, 220178, 87135, 
AZ: Douglas                                                 , 2011, 02 - FEB, 2123, 1218, 785, 0, 0, 0, 0, 155, 891, 101636, 189362, 88178, 
AZ: Douglas                                                 , 2011, 03 - MAR, 2731, 1628, 885, 0, 0, 0, 0, 179, 1180, 119911, 219023, 89565, 
AZ: Douglas                                                 , 2011, 04 - APR, 2488, 1462, 847, 0, 0, 0, 0, 165, 1340, 117314, 222018, 90761, 
AZ: Douglas                                                 , 2011, 05 - MAY, 2703, 1538, 978, 0, 0, 0, 0, 150, 1045, 124664, 231277, 84006, 
AZ: Douglas                                                 , 2011, 06 - JUN, 2695, 1546, 920, 0, 0, 0, 0, 161, 1067, 118008, 219196, 78631, 
AZ: Douglas                                                 , 2011, 07 - JUL, 2485, 1427, 896, 0, 0, 0, 0, 183, 1821, 117367, 226024, 82424, 
AZ: Douglas                                                 , 2011, 08 - AUG, 2556, 1558, 1079, 0, 0, 0, 0, 178, 1652, 120610, 225562, 100226, 
AZ: Douglas                                                 , 2011, 09 - SEP, 2577, 1516, 892, 0, 0, 0, 0, 155, 974, 111061, 210367, 87758, 
AZ: Douglas                                                 , 2011, 10 - OCT, 2497, 1510, 762, 0, 0, 0, 0, 159, 1095, 115444, 217711, 55130, 
AZ: Douglas                                                 , 2011, 11 - NOV, 2484, 1487, 794, 0, 0, 0, 0, 171, 1094, 113938, 211319, 97304, 
AZ: Douglas                                                 , 2011, 12 - DEC, 2428, 1291, 897, 0, 0, 0, 0, 155, 1251, 116679, 222990, 89239, 
AZ: Lukeville                                               , 2011, 01 - JAN, 0, 0, 0, 0, 0, 0, 0, 40, 204, 19355, 36478, 3935, 
AZ: Lukeville                                               , 2011, 02 - FEB, 2, 0, 0, 0, 0, 0, 0, 34, 174, 17066, 30812, 3372, 
AZ: Lukeville                                               , 2011, 03 - MAR, 5, 0, 0, 0, 0, 0, 0, 38, 194, 25420, 49882, 3696, 
AZ: Lukeville                                               , 2011, 04 - APR, 2, 0, 0, 0, 0, 0, 0, 35, 179, 20791, 44773, 4009, 
AZ: Lukeville                                               , 2011, 05 - MAY, 1, 0, 0, 0, 0, 0, 0, 33, 169, 25884, 54659, 3191, 
AZ: Lukeville                                               , 2011, 06 - JUN, 2, 0, 0, 0, 0, 0, 0, 34, 174, 24795, 53998, 3295, 
AZ: Lukeville                                               , 2011, 07 - JUL, 19, 0, 0, 0, 0, 0, 0, 35, 149, 25953, 63301, 4361, 
AZ: Lukeville                                               , 2011, 08 - AUG, 0, 0, 0, 0, 0, 0, 0, 34, 174, 16807, 38215, 3102, 
AZ: Lukeville                                               , 2011, 09 - SEP, 0, 0, 0, 0, 0, 0, 0, 34, 174, 18027, 39443, 2631, 
AZ: Lukeville                                               , 2011, 10 - OCT, 1, 0, 0, 0, 0, 0, 0, 33, 169, 25225, 53170, 2607, 
AZ: Lukeville                                               , 2011, 11 - NOV, 1, 0, 0, 0, 0, 0, 0, 32, 172, 20413, 40710, 3262, 
AZ: Lukeville                                               , 2011, 12 - DEC, 0, 0, 0, 0, 0, 0, 0, 36, 183, 16502, 33084, 4147, 
AZ: Naco                                                    , 2011, 01 - JAN, 220, 110, 116, 0, 0, 0, 0, 1, 23, 20196, 38838, 7384, 
AZ: Naco                                                    , 2011, 02 - FEB, 215, 109, 120, 0, 0, 0, 0, 0, 0, 17955, 33595, 6754, 
