Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2004, 01 - JAN, 2117, 1157, 712, 0, 0, 0, 0, 318, 2544, 164978, 346454, 31110, 
AZ: Douglas                                                 , 2004, 02 - FEB, 2215, 1238, 752, 0, 0, 0, 0, 186, 1185, 162237, 324474, 33788, 
AZ: Douglas                                                 , 2004, 03 - MAR, 2784, 1243, 768, 0, 0, 0, 0, 418, 3344, 174439, 331434, 37487, 
AZ: Douglas                                                 , 2004, 04 - APR, 2434, 1404, 698, 0, 0, 0, 0, 426, 3408, 169165, 338330, 41437, 
AZ: Douglas                                                 , 2004, 05 - MAY, 2177, 1082, 658, 0, 0, 0, 0, 329, 2632, 180206, 396453, 42801, 
AZ: Douglas                                                 , 2004, 06 - JUN, 2029, 1202, 853, 0, 0, 0, 0, 484, 3872, 170038, 357080, 37022, 
AZ: Douglas                                                 , 2004, 07 - JUL, 2174, 1014, 633, 0, 0, 0, 0, 491, 3928, 174857, 402171, 41163, 
AZ: Douglas                                                 , 2004, 08 - AUG, 2429, 1311, 883, 0, 0, 0, 0, 492, 3936, 180813, 397788, 45757, 
AZ: Douglas                                                 , 2004, 09 - SEP, 2584, 1520, 791, 0, 0, 0, 0, 461, 3688, 173057, 398031, 52069, 
AZ: Douglas                                                 , 2004, 10 - OCT, 2423, 1386, 723, 0, 0, 0, 0, 440, 3520, 175907, 334223, 59497, 
AZ: Douglas                                                 , 2004, 11 - NOV, 2393, 1257, 828, 0, 0, 0, 0, 432, 3456, 179822, 413590, 61313, 
AZ: Douglas                                                 , 2004, 12 - DEC, 2387, 1250, 822, 0, 0, 0, 0, 651, 5208, 181931, 382055, 57179, 
AZ: Lukeville                                               , 2004, 01 - JAN, 28, 2, 28, 0, 0, 0, 0, 10, 1092, 30142, 87411, 7986, 
AZ: Lukeville                                               , 2004, 02 - FEB, 31, 4, 27, 0, 0, 0, 0, 36, 1404, 31419, 91115, 7674, 
AZ: Lukeville                                               , 2004, 03 - MAR, 38, 5, 36, 0, 0, 0, 0, 21, 819, 45239, 131193, 9391, 
AZ: Lukeville                                               , 2004, 04 - APR, 33, 5, 28, 0, 0, 0, 0, 7, 273, 40087, 116252, 9607, 
AZ: Lukeville                                               , 2004, 05 - MAY, 50, 3, 32, 0, 0, 0, 0, 11, 429, 37117, 107639, 8498, 
AZ: Lukeville                                               , 2004, 06 - JUN, 40, 9, 27, 0, 0, 0, 0, 0, 0, 31938, 92620, 8366, 
AZ: Lukeville                                               , 2004, 07 - JUL, 36, 14, 33, 0, 0, 0, 0, 0, 0, 32010, 92829, 8974, 
AZ: Lukeville                                               , 2004, 08 - AUG, 39, 9, 25, 0, 0, 0, 0, 0, 0, 26016, 75446, 8597, 
AZ: Lukeville                                               , 2004, 09 - SEP, 61, 14, 47, 0, 0, 0, 0, 0, 0, 25595, 74226, 7390, 
AZ: Lukeville                                               , 2004, 10 - OCT, 99, 21, 52, 0, 0, 0, 0, 8, 312, 36869, 106920, 8172, 
AZ: Lukeville                                               , 2004, 11 - NOV, 113, 20, 74, 0, 0, 0, 0, 14, 546, 34549, 100192, 8618, 
AZ: Lukeville                                               , 2004, 12 - DEC, 68, 17, 61, 0, 0, 0, 0, 5, 195, 27488, 79715, 9821, 
AZ: Naco                                                    , 2004, 01 - JAN, 729, 145, 594, 0, 0, 0, 0, 34, 850, 28455, 196340, 7750, 
AZ: Naco                                                    , 2004, 02 - FEB, 348, 181, 167, 0, 0, 0, 0, 37, 925, 26554, 172601, 6739, 
AZ: Naco                                                    , 2004, 03 - MAR, 443, 215, 222, 0, 0, 0, 0, 34, 850, 28858, 181805, 8520, 
AZ: Naco                                                    , 2004, 04 - APR, 439, 207, 232, 0, 0, 0, 0, 37, 925, 28821, 184454, 7932, 
AZ: Naco                                                    , 2004, 05 - MAY, 489, 198, 237, 0, 0, 0, 0, 31, 775, 29951, 194682, 7300, 
AZ: Naco                                                    , 2004, 06 - JUN, 449, 247, 202, 0, 0, 0, 0, 38, 950, 27605, 179433, 6696, 
AZ: Naco                                                    , 2004, 07 - JUL, 444, 203, 176, 0, 0, 0, 0, 56, 1400, 28054, 190767, 6617, 
AZ: Naco                                                    , 2004, 08 - AUG, 448, 212, 236, 0, 0, 0, 0, 52, 1300, 29552, 192088, 7476, 
AZ: Naco                                                    , 2004, 09 - SEP, 384, 175, 209, 0, 0, 0, 0, 16, 400, 26435, 171828, 7269, 
AZ: Naco                                                    , 2004, 10 - OCT, 348, 175, 158, 0, 0, 0, 0, 53, 1325, 28338, 201200, 8824, 
AZ: Naco                                                    , 2004, 11 - NOV, 321, 166, 155, 0, 0, 0, 0, 53, 1325, 27035, 183838, 8344, 
AZ: Naco                                                    , 2004, 12 - DEC, 289, 135, 135, 0, 0, 0, 0, 55, 1375, 30674, 73618, 8227, 
AZ: Nogales                                                 , 2004, 01 - JAN, 25427, 21530, 3997, 40, 1952, 2441, 160, 462, 10963, 312372, 843405, 472933, 
AZ: Nogales                                                 , 2004, 02 - FEB, 24455, 20942, 3513, 38, 2160, 1759, 152, 512, 9632, 287077, 775108, 485590, 
AZ: Nogales                                                 , 2004, 03 - MAR, 29002, 25210, 3792, 44, 2229, 2390, 176, 547, 11235, 304229, 821399, 520308, 
AZ: Nogales                                                 , 2004, 04 - APR, 25695, 21984, 3711, 39, 2090, 1182, 156, 594, 14204, 291661, 777485, 508663, 
AZ: Nogales                                                 , 2004, 05 - MAY, 24611, 20645, 3966, 42, 2258, 1030, 168, 543, 11885, 319145, 861691, 515245, 
AZ: Nogales                                                 , 2004, 06 - JUN, 18673, 15683, 3938, 31, 2282, 898, 124, 599, 13630, 306205, 826753, 464540, 
AZ: Nogales                                                 , 2004, 07 - JUL, 13575, 9591, 3983, 30, 1948, 923, 0, 604, 17766, 302009, 1895352, 507756, 
AZ: Nogales                                                 , 2004, 08 - AUG, 12859, 8924, 3935, 39, 2735, 1381, 156, 576, 12422, 281712, 760623, 483559, 
AZ: Nogales                                                 , 2004, 09 - SEP, 12348, 8670, 4057, 34, 2700, 1326, 136, 410, 6671, 285945, 262705, 457988, 
AZ: Nogales                                                 , 2004, 10 - OCT, 16203, 11552, 4651, 33, 2271, 1462, 132, 587, 11163, 291410, 539357, 501811, 
AZ: Nogales                                                 , 2004, 11 - NOV, 21315, 16457, 4858, 32, 2411, 2247, 128, 632, 12454, 283854, 766406, 551197, 
AZ: Nogales                                                 , 2004, 12 - DEC, 23390, 19020, 4370, 42, 2403, 2421, 168, 776, 18048, 305611, 825150, 661817, 
AZ: San Luis                                                , 2004, 01 - JAN, 3756, 2508, 1258, 0, 0, 0, 0, 3, 3, 293111, 556911, 244719, 
AZ: San Luis                                                , 2004, 02 - FEB, 3925, 2670, 1255, 0, 0, 0, 0, 7, 5, 286234, 543845, 241185, 
AZ: San Luis                                                , 2004, 03 - MAR, 4344, 2813, 1410, 0, 0, 0, 0, 2, 35, 315995, 600391, 238609, 
AZ: San Luis                                                , 2004, 04 - APR, 3117, 1638, 1272, 0, 0, 0, 0, 0, 0, 290686, 581372, 191791, 
AZ: San Luis                                                , 2004, 05 - MAY, 3111, 1669, 1353, 0, 0, 0, 0, 8, 216, 310373, 620746, 189723, 
AZ: San Luis                                                , 2004, 06 - JUN, 2839, 1407, 1334, 0, 0, 0, 0, 7, 109, 305690, 611380, 153566, 
AZ: San Luis                                                , 2004, 07 - JUL, 2729, 1244, 1413, 0, 0, 0, 0, 5, 6, 322061, 644122, 140613, 
AZ: San Luis                                                , 2004, 08 - AUG, 2861, 1226, 1584, 0, 0, 0, 0, 8, 207, 327619, 655238, 134139, 
AZ: San Luis                                                , 2004, 09 - SEP, 2976, 1219, 1621, 0, 0, 0, 0, 6, 174, 319237, 638474, 153756, 
AZ: San Luis                                                , 2004, 10 - OCT, 3325, 1626, 1695, 0, 0, 0, 0, 7, 58, 344377, 654316, 184079, 
AZ: San Luis                                                , 2004, 11 - NOV, 3744, 2032, 1623, 0, 0, 0, 0, 8, 10, 312560, 593864, 206443, 
AZ: San Luis                                                , 2004, 12 - DEC, 4457, 2561, 1595, 0, 0, 0, 0, 13, 13, 327886, 655772, 238189, 
AZ: Sasabe                                                  , 2004, 01 - JAN, 36, 43, 92, 0, 0, 0, 0, 0, 0, 3998, 10395, 188, 
AZ: Sasabe                                                  , 2004, 02 - FEB, 25, 36, 109, 0, 0, 0, 0, 0, 0, 4548, 11825, 194, 
AZ: Sasabe                                                  , 2004, 03 - MAR, 56, 56, 108, 0, 0, 0, 0, 0, 0, 3554, 9240, 299, 
AZ: Sasabe                                                  , 2004, 04 - APR, 54, 64, 93, 0, 0, 0, 0, 0, 0, 3499, 9097, 266, 
AZ: Sasabe                                                  , 2004, 05 - MAY, 33, 49, 49, 0, 0, 0, 0, 0, 0, 3485, 9061, 342, 
AZ: Sasabe                                                  , 2004, 06 - JUN, 44, 24, 30, 0, 0, 0, 0, 0, 0, 3336, 8674, 168, 
AZ: Sasabe                                                  , 2004, 07 - JUL, 0, 38, 31, 0, 0, 0, 0, 0, 0, 3377, 0, 0, 
AZ: Sasabe                                                  , 2004, 08 - AUG, 57, 37, 45, 0, 0, 0, 0, 0, 0, 3428, 8913, 173, 
AZ: Sasabe                                                  , 2004, 09 - SEP, 51, 28, 29, 0, 0, 0, 0, 0, 0, 3084, 8018, 171, 
AZ: Sasabe                                                  , 2004, 10 - OCT, 74, 6, 7, 0, 0, 0, 0, 0, 0, 3177, 8260, 197, 
AZ: Sasabe                                                  , 2004, 11 - NOV, 46, 28, 28, 0, 0, 0, 0, 0, 0, 3310, 8606, 175, 
AZ: Sasabe                                                  , 2004, 12 - DEC, 70, 37, 40, 0, 0, 0, 0, 0, 0, 3776, 9818, 202, 
CA: Andrade                                                 , 2004, 01 - JAN, 194, 113, 81, 0, 0, 0, 0, 9, 347, 65769, 144692, 290865, 
CA: Andrade                                                 , 2004, 02 - FEB, 248, 140, 108, 0, 0, 0, 0, 7, 319, 69090, 158907, 308380, 
CA: Andrade                                                 , 2004, 03 - MAR, 291, 165, 126, 0, 0, 0, 0, 4, 291, 70798, 155756, 294869, 
CA: Andrade                                                 , 2004, 04 - APR, 214, 127, 98, 0, 0, 0, 0, 6, 243, 64447, 141783, 160720, 
CA: Andrade                                                 , 2004, 05 - MAY, 235, 129, 106, 0, 0, 0, 0, 1, 39, 66676, 146687, 109355, 
CA: Andrade                                                 , 2004, 06 - JUN, 225, 128, 104, 0, 0, 0, 0, 0, 0, 54963, 115422, 81832, 
CA: Andrade                                                 , 2004, 07 - JUL, 206, 113, 93, 0, 0, 0, 0, 0, 0, 55832, 122830, 71522, 
CA: Andrade                                                 , 2004, 08 - AUG, 212, 116, 96, 0, 0, 0, 0, 0, 0, 56965, 125323, 65557, 
CA: Andrade                                                 , 2004, 09 - SEP, 223, 118, 104, 0, 0, 0, 0, 0, 0, 57834, 127235, 78427, 
CA: Andrade                                                 , 2004, 10 - OCT, 219, 112, 96, 0, 0, 0, 0, 0, 0, 62416, 137315, 121227, 
CA: Andrade                                                 , 2004, 11 - NOV, 219, 118, 101, 0, 0, 0, 0, 2, 45, 61787, 135931, 177655, 
CA: Andrade                                                 , 2004, 12 - DEC, 211, 97, 83, 0, 0, 0, 0, 1, 39, 67344, 141422, 185938, 
CA: Calexico                                                , 2004, 01 - JAN, 0, 0, 0, 0, 0, 0, 0, 121, 772, 437884, 875768, 418005, 
CA: Calexico                                                , 2004, 02 - FEB, 0, 0, 0, 0, 0, 0, 0, 180, 1080, 430310, 817589, 473152, 
