Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 1998, 01 - JAN, 2849, 1148, 1228, 0, 0, 0, 0, 310, 310, 162211, 446080, 54705, 
AZ: Douglas                                                 , 1998, 02 - FEB, 2945, 1262, 1295, 0, 0, 0, 0, 280, 280, 149812, 411983, 47850, 
AZ: Douglas                                                 , 1998, 03 - MAR, 3539, 1531, 1419, 0, 0, 0, 0, 310, 310, 165793, 455931, 49615, 
AZ: Douglas                                                 , 1998, 04 - APR, 2966, 1101, 1220, 0, 0, 0, 0, 300, 300, 173128, 476102, 54338, 
AZ: Douglas                                                 , 1998, 05 - MAY, 3106, 1227, 1025, 0, 0, 0, 0, 310, 310, 182555, 502026, 56340, 
AZ: Douglas                                                 , 1998, 06 - JUN, 3286, 1474, 1307, 0, 0, 0, 0, 300, 300, 169422, 465911, 49759, 
AZ: Douglas                                                 , 1998, 07 - JUL, 2715, 1028, 926, 0, 49, 57, 0, 310, 310, 169560, 466290, 54981, 
AZ: Douglas                                                 , 1998, 08 - AUG, 2752, 1149, 912, 0, 0, 0, 0, 310, 310, 176531, 485460, 51556, 
AZ: Douglas                                                 , 1998, 09 - SEP, 2376, 1207, 1163, 0, 0, 0, 0, 300, 300, 167432, 460438, 46599, 
AZ: Douglas                                                 , 1998, 10 - OCT, 3132, 1461, 1339, 0, 0, 0, 0, 310, 310, 172039, 473107, 52291, 
AZ: Douglas                                                 , 1998, 11 - NOV, 3158, 1272, 1072, 0, 0, 0, 0, 300, 300, 167460, 460515, 56015, 
AZ: Douglas                                                 , 1998, 12 - DEC, 2832, 1092, 1200, 0, 0, 0, 0, 310, 310, 172089, 473245, 67132, 
AZ: Lukeville                                               , 1998, 01 - JAN, 307, 16, 44, 0, 0, 0, 0, 35, 1365, 28298, 77536, 5872, 
AZ: Lukeville                                               , 1998, 02 - FEB, 293, 17, 47, 0, 0, 0, 0, 56, 2184, 30503, 83578, 6028, 
AZ: Lukeville                                               , 1998, 03 - MAR, 342, 34, 49, 0, 0, 0, 0, 79, 3081, 33980, 93105, 6185, 
AZ: Lukeville                                               , 1998, 04 - APR, 369, 23, 31, 0, 0, 0, 0, 64, 2469, 39107, 107153, 6294, 
AZ: Lukeville                                               , 1998, 05 - MAY, 324, 16, 45, 0, 0, 0, 0, 30, 1170, 41772, 114455, 4327, 
AZ: Lukeville                                               , 1998, 06 - JUN, 298, 25, 41, 0, 0, 0, 0, 26, 1014, 32205, 88241, 7941, 
AZ: Lukeville                                               , 1998, 07 - JUL, 242, 31, 37, 0, 0, 0, 0, 17, 663, 23889, 65455, 5890, 
