Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2005, 01 - JAN, 2199, 1146, 727, 0, 0, 0, 0, 285, 2143, 153869, 323125, 52806, 
AZ: Douglas                                                 , 2005, 02 - FEB, 2385, 1405, 786, 0, 0, 0, 0, 290, 1839, 161269, 322538, 49277, 
AZ: Douglas                                                 , 2005, 03 - MAR, 2520, 1466, 786, 0, 0, 0, 0, 322, 2416, 182345, 382925, 62839, 
AZ: Douglas                                                 , 2005, 04 - APR, 2305, 1528, 752, 0, 0, 0, 0, 267, 1895, 176318, 405531, 68979, 
AZ: Douglas                                                 , 2005, 05 - MAY, 2419, 1476, 799, 0, 0, 0, 0, 251, 1800, 193567, 445204, 62672, 
AZ: Douglas                                                 , 2005, 06 - JUN, 2499, 1566, 895, 0, 0, 0, 0, 202, 1512, 180091, 396200, 58027, 
AZ: Douglas                                                 , 2005, 07 - JUL, 2387, 1314, 694, 0, 0, 0, 0, 328, 3306, 181280, 416944, 47766, 
AZ: Douglas                                                 , 2005, 08 - AUG, 2722, 1710, 794, 0, 0, 0, 0, 250, 2213, 181892, 436541, 63674, 
AZ: Douglas                                                 , 2005, 09 - SEP, 2320, 1545, 666, 0, 0, 0, 0, 280, 1841, 172079, 412990, 42640, 
AZ: Douglas                                                 , 2005, 10 - OCT, 2241, 1353, 604, 0, 0, 0, 0, 302, 1821, 173229, 381104, 67076, 
AZ: Douglas                                                 , 2005, 11 - NOV, 2334, 1238, 594, 0, 0, 0, 0, 250, 1449, 166737, 366821, 52708, 
AZ: Douglas                                                 , 2005, 12 - DEC, 2087, 1278, 718, 0, 0, 0, 0, 214, 1881, 175037, 385081, 83971, 
AZ: Lukeville                                               , 2005, 01 - JAN, 75, 5, 59, 0, 0, 0, 0, 3, 117, 29217, 84729, 8328, 
AZ: Lukeville                                               , 2005, 02 - FEB, 23, 1, 25, 0, 0, 0, 0, 42, 1638, 28055, 81360, 7410, 
AZ: Lukeville                                               , 2005, 03 - MAR, 36, 3, 49, 0, 0, 0, 0, 31, 1209, 42092, 122067, 8939, 
AZ: Lukeville                                               , 2005, 04 - APR, 79, 16, 57, 0, 0, 0, 0, 9, 351, 30706, 89047, 7594, 
AZ: Lukeville                                               , 2005, 05 - MAY, 89, 9, 63, 0, 0, 0, 0, 21, 819, 40024, 116070, 9363, 
AZ: Lukeville                                               , 2005, 06 - JUN, 71, 6, 60, 0, 0, 0, 0, 7, 273, 35752, 103681, 9140, 
AZ: Lukeville                                               , 2005, 07 - JUL, 82, 10, 96, 0, 0, 0, 0, 8, 312, 40725, 118102, 9788, 
AZ: Lukeville                                               , 2005, 08 - AUG, 132, 38, 70, 0, 0, 0, 0, 0, 0, 28391, 82334, 7649, 
AZ: Lukeville                                               , 2005, 09 - SEP, 98, 30, 68, 0, 0, 0, 0, 3, 117, 27164, 78776, 6545, 
AZ: Lukeville                                               , 2005, 10 - OCT, 86, 25, 61, 0, 0, 0, 0, 14, 546, 40088, 116255, 9001, 
AZ: Lukeville                                               , 2005, 11 - NOV, 86, 20, 57, 0, 0, 0, 0, 8, 312, 38835, 112622, 8032, 
AZ: Lukeville                                               , 2005, 12 - DEC, 87, 20, 63, 0, 0, 0, 0, 601, 23439, 28214, 81821, 10150, 
AZ: Naco                                                    , 2005, 01 - JAN, 412, 215, 173, 0, 0, 0, 0, 54, 1350, 26827, 198520, 8480, 
AZ: Naco                                                    , 2005, 02 - FEB, 364, 167, 141, 0, 0, 0, 0, 42, 1050, 24298, 143358, 7478, 
AZ: Naco                                                    , 2005, 03 - MAR, 470, 208, 161, 0, 0, 0, 0, 5, 125, 28157, 137969, 9879, 
AZ: Naco                                                    , 2005, 04 - APR, 425, 254, 171, 0, 0, 0, 0, 89, 2225, 26569, 71736, 8533, 
