Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2006, 01 - JAN, 2137, 1399, 723, 0, 0, 0, 0, 302, 1881, 146779, 337592, 58631, 
AZ: Douglas                                                 , 2006, 02 - FEB, 3517, 1114, 603, 0, 0, 0, 0, 272, 1938, 146908, 323198, 56532, 
AZ: Douglas                                                 , 2006, 03 - MAR, 2609, 1358, 721, 0, 0, 0, 0, 325, 2313, 153096, 367430, 56292, 
AZ: Douglas                                                 , 2006, 04 - APR, 2239, 1331, 697, 0, 0, 0, 0, 259, 1927, 168158, 369948, 53404, 
AZ: Douglas                                                 , 2006, 05 - MAY, 2370, 1499, 826, 0, 0, 0, 0, 263, 1765, 181919, 418414, 54928, 
AZ: Douglas                                                 , 2006, 06 - JUN, 1865, 1212, 653, 0, 0, 0, 0, 250, 1751, 171187, 393730, 49076, 
AZ: Douglas                                                 , 2006, 07 - JUL, 1811, 1034, 623, 0, 0, 0, 0, 260, 2105, 168515, 387584, 57274, 
AZ: Douglas                                                 , 2006, 08 - AUG, 2266, 1370, 896, 0, 0, 0, 0, 282, 1848, 166142, 398741, 67549, 
AZ: Douglas                                                 , 2006, 09 - SEP, 2369, 1305, 887, 0, 0, 0, 0, 227, 1420, 164016, 377237, 65832, 
AZ: Douglas                                                 , 2006, 10 - OCT, 2433, 1289, 907, 0, 0, 0, 0, 215, 1551, 160761, 385826, 72632, 
AZ: Douglas                                                 , 2006, 11 - NOV, 2371, 1202, 914, 0, 0, 0, 0, 210, 1362, 157836, 363023, 76735, 
AZ: Douglas                                                 , 2006, 12 - DEC, 1964, 977, 835, 0, 0, 0, 0, 219, 2032, 167266, 384712, 91326, 
AZ: Lukeville                                               , 2006, 01 - JAN, 67, 7, 60, 0, 0, 0, 0, 535, 20865, 33162, 96170, 8459, 
AZ: Lukeville                                               , 2006, 02 - FEB, 65, 7, 54, 0, 0, 0, 0, 532, 20748, 30744, 89158, 8113, 
AZ: Lukeville                                               , 2006, 03 - MAR, 73, 15, 69, 0, 0, 0, 0, 684, 26676, 41404, 120072, 9941, 
